NAME, URL, VIEWCOUNT, LIKECOUNT, DISLIKECOUNT, FAVOURITECOUNT, COMMENTCOUNT
Launch of Artificial Intelligence (AI ) & Machine Learning (ML) Program,https://www.youtube.com/watch?v=gt4ogbslXWU,2353,47,0,0,5
Artificial Intelligence & Machine Learning (AI & ML) in Action | Coding Bootcamp,https://www.youtube.com/watch?v=WK8CaC3qglw,1958,29,2,0,0
Introduction to AI & ML | Coding Bootcamp,https://www.youtube.com/watch?v=wxekrO1v8CI,2631,78,4,0,4
Artificial Intelligence & Machine Learning (AI & ML) - Launch of Batch 1,https://www.youtube.com/watch?v=ADE9HRbmj50,2040,31,3,0,0
What is Machine Learning in layman term,https://www.youtube.com/watch?v=RaDFiMd-Amg,1147,16,0,0,3
Machine learning - automating automation,https://www.youtube.com/watch?v=RMM_HdMQGWY,1083,15,1,0,5
Machine Learning DataScience interview questions - What is regularization? Why required?,https://www.youtube.com/watch?v=MucFoVbmX5E,1497,15,3,0,6
Machine Learning Algorithm(Supervised and Unsupervised Learning)  Part 17,https://www.youtube.com/watch?v=v73si_cFkSE,1511,13,0,0,3
Machine Learning interview questions - Whatâ€™s the difference between Type I and Type II error?,https://www.youtube.com/watch?v=8EzeJAN3yO0,754,9,1,0,3
Machine Learning K Nearest Neighbour  Part 1,https://www.youtube.com/watch?v=SU8Alpp58KQ,1416,8,0,0,1
Top 7 Machine Learning Algorithms every beginner should know,https://www.youtube.com/watch?v=5WPSecXkQ3U,149,8,0,0,0
6. Vidyasagar Nallapati - Fast and Scalable Machine Learning with GoLang,https://www.youtube.com/watch?v=oNprNOsU0zc,850,8,0,0,0
Machine Learning in Cloud,https://www.youtube.com/watch?v=ibPqBe6Fj5Q,242,3,0,0,1
Machine Learning interview questions - What are the advantages and disadvantages of neural networks,https://www.youtube.com/watch?v=_TOf8G82kLA,1658,24,4,0,5
Machine learning Data analysis CaseStudy   Analysis of Student Performance Dataset  1,https://www.youtube.com/watch?v=wHnNw3x1q08,279,4,0,0,2
Machine Learning Data science interview questions - What is Interpolation and Extrapolation?,https://www.youtube.com/watch?v=IYTterTHJ38,1661,18,1,0,4
Machine Learning DataScience interview questions - What are ways of reducing dimensionality of data?,https://www.youtube.com/watch?v=nI-m0jEN1KY,1447,19,1,0,11
Machine Learning Data science interview questions - How is KNN different from kmeans?,https://www.youtube.com/watch?v=a_NQTJLgvkA,2471,18,4,0,7
Machine learning Data analysis CaseStudy - Analysis of Student Performance Dataset  2,https://www.youtube.com/watch?v=qakyWBu_ZD0,221,4,0,0,4
Machine Learning DataScience - What is difference between model parameter and hyperparameter?,https://www.youtube.com/watch?v=tyDgjKe5C9Y,276,7,0,0,0
Machine Learning Data science interview questions - What is Bias and variance trade off?,https://www.youtube.com/watch?v=9wr4KUvjREs,1578,8,4,0,5
Machine Learning interview questions - What is Collaborative Filtering and content based filtering?,https://www.youtube.com/watch?v=FHGVkQxqxqs,786,7,2,0,0
Deep learning Machine learning strategy,https://www.youtube.com/watch?v=zirVUQvgOSY,187,1,0,0,8
Fast Track Machine Learning Part 1 (Machine Learning Overview) - Types of Machine Learning Problems,https://www.youtube.com/watch?v=4Dp6p9ZuoO8,2190,9,0,0,0
Machine Learning System design General steps,https://www.youtube.com/watch?v=ZPXPVPU4IdI,520,2,0,0,0
Machine Learning   DataScience -  How to Deal with non numeric categorical data?,https://www.youtube.com/watch?v=EzxEZj-u_Ow,774,12,0,0,2
Machine Learning Data preprocessing Feature Scaling In scikitLearn-1  Part-15,https://www.youtube.com/watch?v=2v_e4ITuRSs,3224,37,2,0,14
"List of Machine Learning Algorithm(Regression, Decision Tree, Association Rule Mining)  Part 18",https://www.youtube.com/watch?v=c__T09TtJ2E,1014,7,0,0,2
Machine learning Algorithm Scikit Cheatsheet Tutorial 13,https://www.youtube.com/watch?v=e07IgiYp4AA,913,15,0,0,0
Machine Learning interview questions-Test to decide weather it is a machine learning problem or not,https://www.youtube.com/watch?v=VtDuJuIfVKg,646,6,0,0,1
Machine Learning DataScience interview questions - What is symbolic AI vs Non Symbolic AI?,https://www.youtube.com/watch?v=99mu2SZmJpw,899,3,4,0,2
Machine Learning  K Means Clustering  Problem Definition  Part 1,https://www.youtube.com/watch?v=cL5nA7SpRG0,974,3,0,0,0
What is Machine learning 1.3,https://www.youtube.com/watch?v=_KxNCZjCK0Q,31,1,1,0,0
"Machine learning interview questions - Which is better, More False positive or More False Negative?",https://www.youtube.com/watch?v=hdZP-83SPqo,3025,28,5,0,5
Machine learning Data analysis Casestudy - Student Performance Dataset,https://www.youtube.com/watch?v=PZHN5ykM_gk,138,4,0,0,4
Machine Learning Prepare Data Tutorial 12,https://www.youtube.com/watch?v=kSslGdST2Ms,1990,24,0,0,4
Machine Learning interview questions-what is difference between generative and discriminative model,https://www.youtube.com/watch?v=uhRPeyzTZ9o,1237,25,0,0,4
"Visualize Machine learning data - Histogram, Density plot in pandas, MatplotLib",https://www.youtube.com/watch?v=EuKK_1r44UA,836,12,0,0,1
Machine Learning DataScience interview questions -Explain model complexity Graph,https://www.youtube.com/watch?v=HQEsvM8KVwg,363,3,0,0,0
"Machine learnig  Quotes By bill gates, vinod khosla,  Jerry Yang ...",https://www.youtube.com/watch?v=yq6q9Uj5zgQ,290,3,0,0,2
Fast Track Machine Learning Part 4 (Machine Learning Overview) - Solution Architecture,https://www.youtube.com/watch?v=yvA3Ep6DK_U,584,1,0,0,0
Machine Learning DataScience interview questions Explain Univariate analysis,https://www.youtube.com/watch?v=D1Hl2RZ3VSg,494,6,0,0,0
Machine Learning DataScience interview questions What is K-Fold Cross validation,https://www.youtube.com/watch?v=1mgmwXDqe5o,854,9,2,0,3
Machine Learning quiz-1 (Regression/ Classification) Part 20,https://www.youtube.com/watch?v=ksVZ_4Lhvtw,542,6,0,0,3
Types of Machine learning 1.4,https://www.youtube.com/watch?v=MUg3Dvm6Vpc,76,4,0,0,0
WHICH SIX JOBS ARE GOING TO DISAPPEAR..? !! THE JOBS WE WILL LOSS TO MACHINE,https://www.youtube.com/watch?v=hbSHmgpAnEI,2006,28,4,0,8
Python Machine Learning with examples and explanation | All you wanted to know,https://www.youtube.com/watch?v=i45xlw_36vA,65,0,0
Machine Learning - Manual to Automation to Automation of automation,https://www.youtube.com/watch?v=V52kZ0d65Tw,243,3,0,0,0
Machine Learning Data preprocessing Feature Scaling In scikitLearn-2  Part-16,https://www.youtube.com/watch?v=ygFP5SoX7aA,1162,16,0,0,0
Machine Learning - Find relationship between data,https://www.youtube.com/watch?v=CZmWkaRk7hk,729,11,0,0,2
